order_date,product,region,quantity,unit_price
2024-01-05,Notebook,North,2,120
2024-01-08,Keyboard,South,1,450
2024-01-12,Mouse,East,3,300
2024-01-15,Laptop,West,1,55000
2024-01-18,Headset,North,2,1500
2024-01-20,Notebook,South,4,120
2024-01-22,Mouse,West,2,300
2024-01-25,Laptop,East,1,56000
2024-01-27,Keyboard,North,2,450
2024-01-30,Headset,South,1,1500
2024-02-02,Notebook,East,3,120
2024-02-05,Mouse,North,2,300
2024-02-06,Laptop,South,1,54000
2024-02-10,Keyboard,West,1,450
2024-02-12,Headset,East,2,1500
2024-02-15,Notebook,North,5,120
2024-02-18,Mouse,South,3,300
2024-02-20,Laptop,West,1,57000
2024-02-22,Keyboard,East,1,450
2024-02-25,Headset,North,1,1500
2024-03-01,Notebook,South,2,120
2024-03-03,Mouse,East,2,300
2024-03-06,Laptop,North,1,55500
2024-03-08,Keyboard,South,1,450
2024-03-10,Headset,West,2,1500
2024-03-12,Notebook,East,3,120
2024-03-15,Mouse,West,1,300
2024-03-18,Laptop,South,1,56500
2024-03-20,Keyboard,North,1,450
2024-03-22,Headset,East,3,1500
